"sample","bacteria","total_sequences","proportion_of_community"
"kimchi_22C_6hr","Anaerovorax",1,0.00110497237569061
"kimchi_22C_6hr","Bacillus",2,0.00220994475138122
"kimchi_22C_6hr","Bacteria",1,0.00110497237569061
"kimchi_22C_6hr","Chloroplast",358,0.395580110497238
"kimchi_22C_6hr","Citrobacter",1,0.00110497237569061
"kimchi_22C_6hr","Enterobacter",1,0.00110497237569061
"kimchi_22C_6hr","Escherichia",31,0.0342541436464088
"kimchi_22C_6hr","Gammaproteobacteria",1,0.00110497237569061
"kimchi_22C_6hr","Kosakonia",2,0.00220994475138122
"kimchi_22C_6hr","Lactobacillus",6,0.00662983425414365
"kimchi_22C_6hr","Leuconostoc",6,0.00662983425414365
"kimchi_22C_6hr","Leuconostocaceae",3,0.00331491712707182
"kimchi_22C_6hr","Methylophilus",1,0.00110497237569061
"kimchi_22C_6hr","Mitochondria",230,0.25414364640884
"kimchi_22C_6hr","Pantoea",5,0.00552486187845304
"kimchi_22C_6hr","Providencia",2,0.00220994475138122
"kimchi_22C_6hr","Pseudomonas",2,0.00220994475138122
"kimchi_22C_6hr","Serratia",1,0.00110497237569061
"kimchi_22C_6hr","Staphylococcus",2,0.00220994475138122
"kimchi_22C_6hr","Stenotrophomonas",2,0.00220994475138122
"kimchi_22C_6hr","unclassified",3,0.00331491712707182
"kimchi_22C_6hr","Weissella",244,0.269613259668508
"kimchi_22C_8days","Aquabacterium",1,0.00068870523415978
"kimchi_22C_8days","Bacillales",1,0.00068870523415978
"kimchi_22C_8days","Bacilli",1,0.00068870523415978
"kimchi_22C_8days","Bacillus",10,0.0068870523415978
"kimchi_22C_8days","Bacteria",1,0.00068870523415978
"kimchi_22C_8days","Chloroplast",13,0.00895316804407714
"kimchi_22C_8days","Curvibacter",1,0.00068870523415978
"kimchi_22C_8days","Enterococcus",7,0.00482093663911846
"kimchi_22C_8days","Escherichia",1,0.00068870523415978
"kimchi_22C_8days","Firmicutes",1,0.00068870523415978
"kimchi_22C_8days","Granulicatella",3,0.00206611570247934
"kimchi_22C_8days","Ignavigranum",1,0.00068870523415978
"kimchi_22C_8days","Jeotgalibaca",1,0.00068870523415978
"kimchi_22C_8days","Lachnospiraceae",1,0.00068870523415978
"kimchi_22C_8days","Lactobacillaceae",1,0.00068870523415978
"kimchi_22C_8days","Lactobacillales",4,0.00275482093663912
"kimchi_22C_8days","Lactobacillus",189,0.130165289256198
"kimchi_22C_8days","Leuconostoc",134,0.0922865013774105
"kimchi_22C_8days","Leuconostocaceae",15,0.0103305785123967
"kimchi_22C_8days","Mitochondria",5,0.0034435261707989
"kimchi_22C_8days","Nannocystis",1,0.00068870523415978
"kimchi_22C_8days","Pediococcus",3,0.00206611570247934
